,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Population.2014 Population,Population.Population per Square Mile
2847,Essex,VA,20.4,20.0,5.4,14.7,76.7,0.9,1.0,37.9,3.6,0.2,2.3,57.6,55.3,44885,21532,11.1,11103,43.4
2848,Fairfax,VA,11.5,23.8,6.7,58.6,91.8,0.7,19.2,10.0,16.4,0.1,3.5,66.6,52.0,110292,50532,5.9,1137538,2766.8
2849,Fauquier,VA,14.9,23.9,5.6,33.2,91.4,0.5,1.5,8.2,7.2,0.1,2.4,87.3,81.0,88409,39600,5.6,68248,100.7
2850,Floyd,VA,20.4,20.5,5.0,16.0,81.4,0.2,0.6,1.9,2.8,0.0,1.2,96.1,93.7,44618,21816,12.7,15578,40.2
2851,Fluvanna,VA,18.3,21.2,5.1,28.8,85.5,0.3,0.7,15.4,3.2,0.1,2.0,81.5,78.9,68288,30881,7.1,26092,89.8
2852,Franklin,VA,20.8,19.7,4.8,19.1,82.7,0.5,0.4,8.4,2.7,0.0,1.3,89.4,87.2,45624,24557,14.0,56358,81.3
2853,Frederick,VA,15.2,23.5,5.8,27.5,86.0,0.4,1.6,4.6,7.4,0.1,2.0,91.4,84.8,68424,30112,7.1,82377,189.4
2854,Giles,VA,20.0,20.7,5.1,16.6,80.5,0.2,0.5,1.6,1.6,0.0,1.0,96.7,95.2,45141,23485,13.3,16815,48.6
2855,Gloucester,VA,17.5,20.5,5.1,22.0,89.3,0.5,0.9,8.4,3.3,0.0,2.4,87.8,85.0,60519,28673,9.2,37141,169.2
2856,Goochland,VA,19.4,19.1,4.0,38.0,87.4,0.3,1.3,17.7,2.4,0.0,1.4,79.3,77.3,80976,45039,5.6,21936,77.2
2857,Grayson,VA,23.6,17.9,4.7,10.9,75.3,0.2,0.2,2.3,3.0,0.0,1.1,96.1,93.4,30710,20591,19.1,15093,35.1
2858,Greene,VA,15.7,24.3,6.4,24.1,83.1,0.3,1.7,6.9,5.0,0.0,2.4,88.6,84.2,59358,26998,12.0,19031,117.8
2859,Greensville,VA,15.1,17.5,5.2,7.2,72.7,0.3,0.6,59.3,2.1,0.0,1.0,38.8,37.5,39697,16380,21.6,11681,41.5
2860,Halifax,VA,22.0,20.8,4.9,15.2,78.9,0.3,0.5,36.6,1.9,0.0,1.2,61.3,59.8,34659,20929,21.3,35200,44.3
2861,Hanover,VA,15.7,22.7,4.6,35.5,92.1,0.5,1.6,9.6,2.6,0.1,1.6,86.7,84.6,75070,33540,5.1,101918,213.1
2862,Henrico,VA,13.8,23.4,6.3,39.7,90.1,0.4,7.9,30.1,5.4,0.1,2.2,59.3,55.0,61048,33115,10.7,321924,1313.4
2863,Henry,VA,21.8,19.8,5.0,11.2,77.0,0.3,0.6,22.0,5.4,0.0,1.7,75.3,70.5,34984,19852,17.1,52081,141.6
2864,Highland,VA,29.4,13.3,3.2,20.9,78.9,0.3,0.4,0.8,1.5,0.0,0.2,98.2,97.2,49625,26372,10.2,2248,5.6
2865,Isle of Wight,VA,17.3,21.1,4.6,25.5,86.1,0.4,1.0,23.9,2.7,0.0,1.9,72.7,70.6,63942,30903,12.0,36007,111.8
2866,James City,VA,22.8,21.0,5.1,45.8,93.5,0.4,2.6,13.6,5.5,0.1,2.7,80.6,76.0,76960,39133,8.7,72583,470.4
