,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Population.2014 Population,Population.Population per Square Mile
845,Linn,IA,14.3,23.8,6.3,31.2,93.8,0.3,2.2,4.5,2.9,0.1,2.4,90.6,88.1,57260,29943,9.7,217751,294.6
846,Louisa,IA,16.6,23.2,5.3,13.5,83.3,0.5,2.1,1.0,16.2,0.2,1.2,95.1,79.8,50583,24272,12.2,11161,28.3
847,Lucas,IA,21.0,23.3,5.6,11.3,89.9,0.2,0.3,0.3,1.3,0.0,0.7,98.5,97.3,43288,21126,17.0,8701,20.7
848,Lyon,IA,16.9,28.1,7.3,17.6,89.1,0.3,0.3,0.3,2.7,0.1,0.7,98.3,95.9,52152,23683,8.0,11683,19.7
849,Madison,IA,16.3,26.0,5.8,21.5,94.2,0.4,0.5,0.5,1.5,0.0,1.0,97.6,96.4,57581,27685,8.9,15609,27.9
850,Mahaska,IA,16.9,23.7,6.1,21.5,90.5,0.4,1.2,1.3,1.9,0.0,1.1,95.9,94.3,47967,23788,15.9,22370,39.2
851,Marion,IA,16.4,24.1,6.1,25.0,92.4,0.2,1.4,1.0,1.9,0.0,1.0,96.3,94.7,54723,25477,9.2,33365,60.1
852,Marshall,IA,17.5,24.9,7.0,19.3,85.2,0.8,2.8,2.0,19.9,0.2,1.8,92.4,73.9,51555,24117,12.1,40866,71.0
853,Mills,IA,15.8,24.2,5.7,24.0,92.1,0.5,0.7,0.6,2.6,0.1,1.3,96.9,94.5,63076,27101,7.0,14831,34.4
854,Mitchell,IA,21.5,23.9,5.6,15.7,91.0,0.1,0.3,0.6,1.2,0.0,0.7,98.3,97.2,51078,24518,7.1,10779,23.0
855,Monona,IA,24.6,21.4,5.1,14.3,89.7,1.1,0.3,0.5,2.0,0.1,1.0,97.0,95.2,42025,24557,9.0,8996,13.3
856,Monroe,IA,19.0,23.6,5.5,19.3,86.7,0.1,0.8,0.6,2.4,0.0,1.2,97.3,95.2,45997,24508,11.8,8001,18.4
857,Montgomery,IA,20.8,22.6,5.7,15.1,87.4,0.5,0.4,0.4,3.5,0.0,1.0,97.7,94.5,44281,22868,16.1,10421,25.3
858,Muscatine,IA,15.0,25.4,6.7,16.2,84.6,0.6,1.1,2.2,17.2,0.0,1.4,94.6,78.5,51425,25038,14.4,42903,97.7
859,O'Brien,IA,20.6,23.6,6.0,18.9,91.1,0.2,0.7,0.9,4.5,0.0,0.9,97.1,93.3,48185,28086,11.3,14056,25.1
860,Osceola,IA,20.2,23.2,6.0,15.6,86.3,0.4,0.6,0.4,6.8,0.1,1.0,97.5,91.3,48659,24653,8.6,6218,16.2
861,Page,IA,20.8,20.6,5.6,17.4,89.3,0.7,1.2,2.4,2.9,0.1,1.4,94.2,91.7,43010,23496,13.9,15496,29.8
862,Palo Alto,IA,21.4,22.0,5.9,16.5,90.0,0.4,0.5,0.9,2.1,0.1,1.1,97.0,95.2,44663,25055,9.2,9099,16.7
863,Plymouth,IA,17.6,25.1,5.9,20.9,92.5,0.5,0.6,0.5,4.1,0.1,1.0,97.2,93.6,58888,27942,6.4,24874,29.0
864,Pocahontas,IA,22.3,22.6,5.7,17.8,92.6,0.5,0.2,0.9,3.4,0.2,1.2,96.9,94.0,44073,25556,14.2,7138,12.7
865,Polk,IA,11.7,25.2,7.2,34.9,91.8,0.4,4.2,6.7,8.0,0.1,2.2,86.5,79.2,59018,30442,11.8,459862,750.5
866,Pottawattamie,IA,15.7,23.7,6.5,19.1,89.3,0.7,0.8,1.6,7.2,0.1,1.7,95.2,88.7,51304,25847,13.8,93128,98.0
867,Poweshiek,IA,19.2,20.4,5.2,24.1,92.6,0.3,1.8,1.4,3.0,0.1,1.5,94.8,92.2,50349,25318,12.8,18668,32.3
868,Ringgold,IA,25.3,23.3,5.8,17.6,88.5,0.3,0.4,0.4,2.0,0.1,0.8,98.1,96.4,44551,23324,13.1,5051,9.6
869,Sac,IA,22.3,22.0,5.4,19.1,91.4,0.2,0.4,0.3,2.8,0.1,0.9,98.2,95.7,48093,26350,8.7,10035,18.0
870,Scott,IA,14.4,24.1,6.6,31.6,92.3,0.4,2.5,7.5,6.3,0.1,2.8,86.7,81.3,52735,28948,13.1,171387,360.7
871,Shelby,IA,22.4,22.7,5.6,18.2,90.9,0.4,0.4,0.5,2.3,0.1,0.8,97.7,95.6,48783,26387,10.8,11948,20.6
872,Sioux,IA,14.5,26.9,7.4,23.4,88.6,0.5,1.1,1.0,9.8,0.0,0.7,96.6,87.9,57227,24324,8.2,34681,43.9
873,Story,IA,10.7,17.1,4.9,47.7,95.5,0.3,7.0,2.8,3.1,0.0,1.7,88.2,85.5,50516,25986,20.9,94073,156.3
874,Tama,IA,19.2,24.1,6.0,16.1,89.9,8.0,0.4,0.6,8.4,0.1,2.6,88.3,82.7,51670,25311,11.5,17451,24.6
875,Taylor,IA,21.1,23.1,6.3,13.8,90.0,0.3,0.3,0.4,7.5,0.1,0.8,98.2,91.0,43804,23793,14.5,6143,11.9
876,Union,IA,18.9,23.1,6.1,16.5,91.5,0.3,0.6,1.0,2.8,0.0,1.0,97.1,94.6,44838,23007,16.1,12516,29.6
877,Van Buren,IA,20.8,23.3,6.7,14.4,87.2,0.2,0.5,0.3,1.3,0.0,0.9,98.1,96.9,43181,21368,16.5,7468,15.6
878,Wapello,IA,17.0,22.4,6.0,16.2,84.6,0.8,0.9,2.2,10.0,0.2,1.3,94.4,85.4,41425,22699,19.1,35212,82.5
879,Warren,IA,14.9,25.2,6.0,26.7,95.3,0.3,0.6,0.7,2.5,0.1,1.1,97.2,94.9,62535,29088,7.3,47956,81.1
880,Washington,IA,18.5,24.8,6.6,20.8,89.5,0.3,0.5,0.9,5.6,0.1,1.2,96.9,91.7,54554,26459,9.8,22070,38.2
881,Wayne,IA,22.3,24.2,7.0,14.1,88.4,0.3,0.4,0.7,1.7,0.0,1.0,97.6,96.2,40024,22127,12.4,6395,12.2
882,Webster,IA,17.2,21.4,5.8,19.2,88.8,0.4,0.9,4.2,4.3,0.0,1.8,92.7,88.8,41624,24203,15.8,36955,53.1
883,Winnebago,IA,20.4,21.4,5.2,18.6,91.9,0.3,1.0,1.4,3.9,0.0,1.3,96.0,92.5,45603,24547,11.4,10559,27.1
884,Winneshiek,IA,18.1,18.9,4.3,26.5,93.8,0.1,1.2,0.8,2.1,0.0,0.8,97.0,95.2,53122,25062,8.4,20768,30.5
885,Woodbury,IA,13.8,26.0,7.3,20.3,85.4,2.6,2.7,2.8,15.2,0.2,2.8,88.9,75.7,45856,23269,15.7,102271,117.1
886,Worth,IA,19.8,21.7,5.1,16.3,92.5,0.3,0.5,0.9,2.7,0.0,1.0,97.3,95.0,50476,26187,11.5,7624,19.0
887,Wright,IA,21.3,23.1,5.7,16.0,88.8,0.4,0.4,0.8,10.2,0.1,1.1,97.2,87.7,45205,25827,11.0,12840,22.8
888,Allen,KS,19.0,23.3,6.0,16.1,88.6,0.9,0.5,2.2,3.3,0.0,2.5,93.7,91.1,40554,20552,17.0,12909,26.7
889,Anderson,KS,20.6,25.2,6.2,19.0,87.4,0.8,0.7,0.6,1.7,0.1,1.7,96.3,94.7,41713,22139,12.8,7883,14.0
890,Atchison,KS,16.3,23.4,6.4,21.6,91.7,0.7,0.6,5.2,2.9,0.0,2.6,90.8,88.3,45212,21909,17.1,16513,39.3
891,Barber,KS,20.3,22.5,6.9,19.8,92.0,0.9,0.6,0.6,3.6,0.0,1.6,96.3,93.2,45920,26229,10.6,4897,4.3
892,Barton,KS,17.3,24.5,6.9,18.3,86.0,0.9,0.4,1.8,14.3,0.1,1.5,95.3,82.2,44981,25800,13.9,27385,30.9
893,Bourbon,KS,18.5,25.0,6.8,22.0,87.5,1.0,0.7,3.3,2.3,0.0,2.6,92.4,90.7,39591,19340,19.3,14772,23.9
894,Brown,KS,19.0,25.4,7.0,18.2,90.9,9.3,0.4,1.6,3.8,0.0,2.9,85.8,83.7,39968,21046,19.0,9815,17.5
895,Butler,KS,14.0,26.0,6.0,26.7,92.8,1.1,1.0,1.9,4.5,0.1,2.3,93.6,89.8,56454,27329,8.4,66227,46.1
896,Chase,KS,23.1,21.1,4.5,23.6,90.2,0.9,0.3,1.3,4.0,0.0,1.4,96.1,92.3,36815,21775,13.1,2692,3.6
897,Chautauqua,KS,25.8,20.5,5.5,16.3,87.1,5.1,0.2,0.9,3.0,0.1,4.5,89.2,87.0,39529,21245,15.2,3481,5.7
898,Cherokee,KS,17.7,24.3,5.7,14.9,86.1,4.0,0.4,0.8,2.3,0.3,4.0,90.5,88.6,39746,19580,18.4,20787,36.8
899,Cheyenne,KS,26.5,20.6,5.1,21.7,89.2,0.3,1.2,0.1,7.1,0.0,0.9,97.4,90.5,37875,23677,11.2,2693,2.7
900,Clark,KS,20.8,27.1,7.4,26.2,92.1,1.4,1.4,0.7,9.8,0.1,2.9,93.5,84.2,41129,25385,12.7,2144,2.3
901,Clay,KS,21.9,23.2,6.4,20.7,95.2,0.5,0.4,0.7,2.6,0.1,1.4,97.0,94.7,45233,24503,14.0,8317,13.2
902,Cloud,KS,21.1,22.6,6.6,16.6,89.7,0.6,0.7,0.9,3.5,0.0,1.7,96.1,93.1,38534,20467,16.3,9385,13.3
903,Coffey,KS,19.3,22.4,4.7,19.9,92.1,0.8,0.6,0.8,2.8,0.0,1.5,96.3,93.8,51793,27627,9.1,8433,13.7
904,Comanche,KS,22.9,26.6,7.6,23.9,92.1,0.6,0.3,0.3,5.0,0.1,1.5,97.3,92.5,39375,21041,6.4,1954,2.4
905,Cowley,KS,17.0,23.9,6.6,20.0,88.0,2.4,1.9,3.0,10.2,0.3,3.3,89.2,80.5,41878,21519,17.6,35963,32.3
906,Crawford,KS,14.8,21.9,6.2,27.2,90.2,1.1,1.7,2.3,5.1,0.3,2.6,92.0,87.7,37378,20974,20.6,39290,66.4
907,Decatur,KS,27.1,20.2,6.4,19.9,90.1,0.3,0.3,0.9,2.0,0.0,1.5,97.0,95.0,39333,27154,10.1,2908,3.3
908,Dickinson,KS,18.4,24.1,6.3,18.5,90.8,0.8,0.4,1.0,4.5,0.1,2.1,95.6,91.6,48890,23895,10.9,19394,23.3
909,Doniphan,KS,17.5,21.8,5.7,17.5,90.0,1.5,0.6,3.4,2.8,0.0,2.2,92.3,89.9,46512,22713,12.3,7874,20.2
910,Douglas,KS,10.3,19.0,5.2,49.6,95.1,2.7,4.6,4.6,5.8,0.1,3.7,84.3,79.7,49508,26342,19.0,116585,243.1
911,Edwards,KS,19.3,23.8,6.6,22.3,85.6,1.7,0.4,1.6,19.7,0.0,1.4,95.0,77.9,46551,24714,12.9,3030,4.9
912,Elk,KS,27.2,20.1,4.1,18.0,89.2,1.7,0.5,0.1,3.8,0.1,3.3,94.2,91.0,34089,20322,18.5,2694,4.5
913,Ellis,KS,13.8,21.9,6.9,32.3,92.7,0.4,1.4,1.0,5.7,0.1,1.6,95.5,90.3,43085,24291,16.2,29013,31.6
914,Ellsworth,KS,19.5,18.0,5.0,20.8,89.7,0.9,0.5,5.1,5.9,0.0,1.5,92.1,86.5,45865,22789,6.9,6392,9.1
915,Finney,KS,9.4,31.1,9.5,17.9,70.6,1.4,4.3,3.3,48.2,0.1,1.5,89.4,43.7,47945,21629,16.0,37184,28.2
916,Ford,KS,10.4,30.3,9.6,16.7,69.7,1.6,1.8,3.0,52.9,0.3,1.7,91.6,41.5,51178,19994,15.5,34795,30.8
917,Franklin,KS,15.4,24.8,6.3,20.2,90.7,0.9,0.5,1.4,3.9,0.0,2.5,94.6,91.4,49543,22979,13.1,25611,45.5
918,Geary,KS,7.6,30.2,11.4,20.8,91.0,1.4,3.5,18.8,15.0,0.8,5.7,69.6,58.1,46908,21408,12.1,36713,89.3
919,Gove,KS,23.2,23.8,6.8,20.3,92.8,0.1,0.4,0.6,2.7,0.0,0.9,98.0,95.6,44866,26233,10.3,2727,2.5
920,Graham,KS,25.4,20.0,6.6,22.9,93.9,0.8,0.8,4.4,3.2,0.0,3.4,90.6,88.5,47500,28146,11.2,2566,2.9
921,Grant,KS,11.2,32.0,8.3,17.8,76.0,2.3,0.5,0.9,46.4,0.0,1.4,94.9,51.4,53213,26370,13.0,7816,13.6
922,Gray,KS,14.4,29.2,7.5,20.2,77.3,0.5,0.3,0.7,14.2,0.0,1.0,97.5,83.9,57808,25537,11.2,6082,6.9
923,Greeley,KS,20.9,24.6,7.7,21.9,91.7,1.0,0.3,0.5,17.6,0.0,0.9,97.2,80.4,52847,32650,5.4,1301,1.6
924,Greenwood,KS,23.6,21.3,5.1,16.5,90.6,1.5,0.3,0.5,4.0,0.0,2.3,95.3,92.0,38346,22280,16.1,6328,5.9
925,Hamilton,KS,11.9,29.9,8.4,12.6,81.9,1.9,0.4,0.5,33.7,0.3,1.5,95.4,63.3,43357,24510,11.2,2603,2.7
926,Harper,KS,21.7,23.8,6.9,16.9,87.7,1.4,0.4,0.5,7.1,0.2,1.7,95.7,89.8,38313,22820,16.5,5818,7.5
927,Harvey,KS,17.9,25.2,6.9,26.3,89.3,0.9,0.9,1.9,11.5,0.0,2.4,94.0,83.6,50287,23775,12.8,34820,64.3
928,Haskell,KS,12.1,28.9,7.6,17.7,72.7,1.2,1.1,0.9,28.8,0.2,1.2,95.3,68.5,52415,25114,10.4,4106,7.4
929,Hodgeman,KS,23.2,22.7,7.4,22.6,90.9,0.2,0.5,0.9,6.5,0.0,1.5,97.0,90.5,52375,30440,5.2,1916,2.2
930,Jackson,KS,17.2,25.8,6.5,17.7,94.3,8.5,0.5,0.9,4.7,0.0,3.4,86.7,84.0,54546,24117,9.4,13539,20.5
931,Jefferson,KS,17.2,23.5,5.3,21.3,91.9,1.1,0.2,0.8,2.6,0.0,1.9,96.0,93.8,56875,26280,7.7,18855,35.9
932,Jewell,KS,27.3,19.5,4.6,14.7,91.9,0.8,0.4,0.3,2.4,0.0,0.9,97.7,95.4,39884,23134,12.5,3043,3.4
933,Johnson,KS,12.7,25.3,6.7,51.7,95.6,0.4,4.7,5.0,7.4,0.0,2.4,87.5,80.7,74717,38827,6.5,574272,1149.6
934,Kearny,KS,14.1,29.2,8.1,17.2,79.0,1.5,0.6,0.8,29.7,0.1,1.7,95.4,66.7,52264,22292,10.1,3915,4.6
935,Kingman,KS,21.6,21.9,5.4,19.3,88.1,0.8,0.6,0.3,3.1,0.0,1.6,96.7,93.9,47466,24026,12.5,7698,9.1
936,Kiowa,KS,18.9,20.7,6.5,20.0,91.4,1.1,0.8,0.9,6.5,0.0,1.3,95.8,89.8,44650,23232,12.3,2513,3.5
937,Labette,KS,18.1,23.6,6.4,20.4,89.7,2.2,0.5,4.6,4.4,0.1,4.0,88.6,85.1,40916,22394,15.3,20960,33.5
938,Lane,KS,23.5,21.3,5.6,22.7,90.9,1.4,0.2,0.8,6.4,0.1,2.5,95.0,89.9,53021,31694,10.3,1687,2.4
939,Leavenworth,KS,12.7,24.3,6.6,28.7,92.1,0.9,1.4,9.6,6.9,0.2,2.9,85.0,79.2,63435,27017,10.7,78797,164.7
940,Lincoln,KS,20.7,24.3,6.3,19.7,92.1,0.7,0.3,0.5,2.4,0.0,1.3,97.3,95.1,40811,23686,12.8,3167,4.5
941,Linn,KS,20.9,23.3,5.0,14.2,89.0,0.7,0.4,0.8,2.3,0.0,1.8,96.3,94.1,45519,26224,12.9,9502,16.3
942,Logan,KS,19.7,22.3,5.9,15.6,90.9,0.8,1.3,1.0,4.9,0.0,2.1,94.8,90.6,41765,25328,12.8,2794,2.6
943,Lyon,KS,13.7,22.4,6.1,24.1,86.8,1.3,2.7,2.8,20.7,0.1,2.4,90.7,72.0,38981,19789,21.1,33212,39.8
944,McPherson,KS,19.0,23.2,6.2,25.7,88.5,0.6,0.8,1.2,3.8,0.1,1.9,95.4,92.2,54167,27462,8.2,29241,32.5
945,Marion,KS,22.3,21.6,5.0,20.8,89.0,0.8,0.3,1.2,3.2,0.1,1.7,96.0,93.3,45830,22269,12.0,12208,13.4
946,Marshall,KS,21.2,23.1,6.2,15.0,92.8,0.6,0.6,0.3,2.3,0.1,1.5,96.9,94.9,44032,25262,12.2,10006,11.2
947,Meade,KS,17.6,27.1,5.5,23.8,85.8,1.0,0.6,0.8,16.9,0.0,1.8,95.7,79.4,51000,21990,9.5,4357,4.7
948,Miami,KS,15.2,25.7,6.1,23.9,93.5,0.7,0.4,1.3,3.1,0.0,1.7,95.7,93.0,58936,28412,9.5,32822,57.0
949,Mitchell,KS,22.5,21.8,6.1,23.8,93.4,0.4,0.3,0.3,2.0,0.1,1.1,97.8,96.0,46667,26911,9.7,6284,9.1
950,Montgomery,KS,18.1,23.9,6.9,17.9,88.2,3.4,0.6,5.8,6.3,0.2,4.7,85.2,80.1,39669,21332,19.4,34065,55.1
951,Morris,KS,23.6,21.2,5.7,17.4,89.3,0.6,0.3,0.6,4.4,0.0,1.9,96.5,92.5,47445,24680,8.3,5698,8.5
952,Morton,KS,18.2,25.9,6.9,17.5,85.0,1.4,2.4,0.9,21.1,0.3,2.2,92.9,73.3,46607,22378,11.3,3110,4.4
953,Nemaha,KS,20.1,25.5,7.0,19.5,90.0,0.7,0.2,0.7,1.7,0.1,1.4,96.9,95.7,47122,24550,11.5,10148,14.2
954,Neosho,KS,18.4,24.8,7.1,16.2,89.8,1.4,0.8,1.3,5.2,0.0,1.9,94.5,90.3,42071,21163,20.7,16416,28.9
955,Ness,KS,23.8,23.2,5.9,19.0,91.0,1.3,0.3,0.7,9.8,0.0,1.2,96.6,88.1,48800,30223,12.7,3105,2.9
956,Norton,KS,19.4,19.0,5.2,15.4,87.7,0.4,0.8,3.1,5.3,0.0,1.5,94.1,89.1,46029,22942,9.4,5560,6.5
957,Osage,KS,18.5,23.8,5.6,20.6,90.6,0.8,0.3,0.5,2.7,0.0,1.9,96.4,94.1,50205,24789,10.6,15936,23.1
958,Osborne,KS,24.8,20.5,5.4,18.0,88.5,0.6,0.5,0.3,1.8,0.0,1.3,97.3,95.9,37925,26313,17.3,3756,4.3
959,Ottawa,KS,18.0,23.9,5.9,21.0,92.3,0.5,0.2,0.9,3.1,0.0,1.5,96.8,94.1,58396,26614,9.5,6065,8.5
960,Pawnee,KS,19.0,19.3,4.9,22.9,90.0,0.7,0.4,5.1,7.8,0.1,2.2,91.5,84.7,44078,23230,6.3,6916,9.2
961,Phillips,KS,21.4,23.5,6.5,18.3,91.8,0.5,0.8,0.5,3.0,0.0,1.2,97.0,94.4,43059,23772,10.0,5533,6.4
962,Pottawatomie,KS,13.2,29.3,8.2,29.3,94.6,0.9,1.0,1.4,5.2,0.1,2.6,94.0,89.7,56854,24892,9.0,22897,25.7
963,Pratt,KS,17.9,24.4,7.2,23.4,88.6,1.0,0.8,1.4,6.8,0.0,2.0,94.8,88.9,46035,26209,11.6,9850,13.1
964,Rawlins,KS,26.6,19.8,5.7,23.3,91.4,0.2,0.4,0.5,4.8,0.0,1.1,97.8,93.3,43482,26897,11.5,2584,2.4
965,Reno,KS,18.0,23.2,6.0,19.8,88.7,0.8,0.6,3.4,9.0,0.1,2.2,92.9,84.8,43798,23382,12.4,63794,51.4
966,Republic,KS,27.4,19.2,5.5,19.8,94.4,0.2,0.6,0.7,1.5,0.0,1.0,97.5,96.4,39572,25531,12.5,4803,6.9
967,Rice,KS,17.5,23.8,6.7,20.9,89.9,1.1,0.5,1.8,11.1,0.1,2.4,94.1,84.1,45336,23068,14.9,10015,13.9
968,Riley,KS,7.9,17.6,6.9,45.0,95.4,0.8,4.8,6.9,8.1,0.2,3.2,84.0,77.1,43962,22948,23.2,75194,116.6
969,Rooks,KS,20.6,23.3,6.3,20.9,91.5,0.3,0.4,0.6,2.5,0.1,1.3,97.3,95.1,42449,23768,18.3,5155,5.8
970,Rush,KS,24.2,19.5,4.3,19.4,90.7,0.8,0.2,0.4,3.3,0.0,1.5,97.1,94.2,42610,24175,12.8,3197,4.6
971,Russell,KS,22.4,21.6,6.3,21.8,90.6,1.0,0.9,1.1,2.5,0.0,1.6,95.4,93.1,37111,24683,14.6,6956,7.9
972,Saline,KS,15.7,24.2,6.8,23.9,89.0,0.8,2.5,3.6,10.9,0.1,3.0,90.0,80.3,47215,24935,17.4,55755,77.2
973,Scott,KS,17.8,25.9,6.4,23.4,86.4,1.0,0.6,0.6,17.5,0.1,0.7,96.9,80.4,50605,26274,11.3,5080,6.9
974,Sedgwick,KS,12.8,26.5,7.6,28.7,88.6,1.4,4.4,9.5,13.9,0.1,3.6,81.0,68.9,49865,25603,15.3,508803,499.6
975,Seward,KS,8.8,31.3,9.8,12.6,63.3,1.5,3.0,4.2,59.1,0.2,1.9,89.1,32.9,50185,19015,19.4,23465,35.9
976,Shawnee,KS,16.1,24.3,6.7,28.6,90.3,1.4,1.4,8.8,11.6,0.1,3.9,84.4,74.8,48451,26057,16.7,178406,327.1
977,Sheridan,KS,22.7,23.4,4.8,22.4,90.8,0.5,0.2,0.2,3.8,0.1,1.2,97.9,94.6,48674,26841,12.9,2539,2.9
978,Sherman,KS,18.3,23.8,7.0,15.7,88.9,0.6,1.1,1.0,12.2,0.1,1.8,95.3,84.0,38634,21476,16.8,6110,5.7
979,Smith,KS,26.3,19.8,5.2,16.7,89.2,0.5,0.2,0.5,1.7,0.1,1.8,97.1,95.5,45556,26811,15.4,3769,4.3
980,Stafford,KS,20.5,24.0,5.3,19.1,87.9,1.9,0.5,0.7,13.1,0.0,1.4,95.4,84.0,43292,23240,15.1,4297,5.6
981,Stanton,KS,16.6,27.9,7.9,18.5,76.9,2.3,0.3,0.9,36.2,0.2,1.5,94.8,60.9,46382,21712,4.0,2111,3.3
982,Stevens,KS,13.2,30.8,7.8,17.6,80.6,1.6,0.4,0.8,34.9,0.2,1.4,95.6,62.3,54494,24950,15.1,5801,7.9
983,Sumner,KS,17.1,24.9,6.6,17.8,90.9,1.2,0.4,1.3,5.2,0.0,2.4,94.6,90.1,47894,22972,13.4,23528,20.4
984,Thomas,KS,15.5,23.0,7.2,27.9,91.6,1.0,0.7,0.8,5.4,0.1,1.4,96.0,91.4,48187,26903,11.2,7891,7.4
985,Trego,KS,24.2,18.0,4.4,21.5,90.2,0.3,0.4,0.7,2.0,0.1,1.1,97.4,95.6,45714,23095,6.7,2902,3.4
986,Wabaunsee,KS,17.5,25.0,7.5,20.6,95.4,0.7,0.3,0.8,3.4,0.0,2.2,96.1,93.2,54694,24199,6.4,7022,8.9
987,Wallace,KS,21.4,24.6,5.8,23.5,87.5,0.5,0.1,0.9,6.7,0.0,1.7,96.8,91.2,47454,25429,8.4,1506,1.6
988,Washington,KS,23.6,22.7,5.5,16.1,90.3,0.5,0.4,0.6,3.4,0.0,1.0,97.4,94.4,42515,22621,10.2,5598,6.5
989,Wichita,KS,18.0,26.4,7.7,16.6,77.4,0.9,0.2,1.1,28.4,0.0,0.9,96.9,69.9,53018,23799,9.9,2176,3.1
990,Wilson,KS,20.1,23.9,5.8,13.0,81.9,1.5,0.7,0.5,2.8,0.1,2.5,94.6,92.3,38917,19929,17.8,9028,16.5
991,Woodson,KS,22.6,20.9,4.8,18.2,90.7,1.4,0.1,0.5,2.7,0.0,2.2,95.8,93.6,33839,21774,19.6,3157,6.6
992,Wyandotte,KS,11.2,28.3,8.4,15.5,78.2,1.3,3.7,24.8,27.3,0.2,3.1,66.9,42.5,39402,18957,23.9,161636,1039.0
993,Adair,KY,16.4,21.0,5.5,13.9,73.7,0.3,0.3,3.0,1.9,0.1,1.2,95.1,93.5,32524,17371,19.1,19204,46.0
994,Allen,KY,16.1,23.9,6.2,12.7,76.4,0.3,0.3,1.1,1.9,0.0,1.2,97.1,95.4,40008,19086,18.6,20384,58.0
995,Anderson,KY,14.2,23.9,5.7,20.4,87.2,0.2,0.6,2.2,1.5,0.1,1.4,95.6,94.2,52646,24161,11.3,21888,106.1
996,Ballard,KY,19.5,21.9,5.2,13.1,84.4,0.2,0.3,3.1,1.3,0.0,2.0,94.3,93.2,44588,24781,14.4,8240,33.4
997,Barren,KY,16.8,23.7,6.2,14.7,79.2,0.3,0.7,4.2,3.0,0.1,1.5,93.2,90.8,38873,19745,20.8,43148,86.5
998,Bath,KY,16.0,25.3,6.6,12.0,73.9,0.2,0.2,1.5,1.3,0.1,1.2,96.8,95.7,30797,16367,28.0,12206,41.6
999,Bell,KY,17.3,21.6,6.4,10.8,68.3,0.2,0.4,2.4,1.0,0.1,1.7,95.2,94.4,26228,15091,33.5,27778,79.9
1000,Boone,KY,11.2,27.3,7.2,30.4,91.9,0.2,2.7,3.2,4.0,0.1,1.8,92.0,88.5,67225,29235,9.0,126413,482.3
1001,Bourbon,KY,17.5,22.7,5.7,15.8,81.6,0.4,0.4,6.3,6.9,0.0,1.7,91.2,85.0,40933,22893,17.2,19972,69.0
1002,Boyd,KY,17.9,21.2,5.8,16.3,87.6,0.3,0.5,3.1,1.6,0.0,1.4,94.7,93.3,40379,24530,19.9,48832,309.9
1003,Boyle,KY,17.6,20.3,5.2,22.8,84.7,0.3,0.9,7.8,3.0,0.0,2.1,88.9,86.3,41473,22249,18.3,29706,157.8
1004,Bracken,KY,15.4,24.3,6.4,14.2,80.9,0.3,0.1,0.7,1.6,0.0,1.2,97.7,96.3,39196,20918,16.8,8406,41.3
1005,Breathitt,KY,15.4,21.1,5.8,9.8,63.8,0.1,0.7,0.5,0.8,0.1,0.7,97.9,97.2,24045,14706,32.5,13409,28.2
1006,Breckinridge,KY,17.6,22.9,5.6,9.4,76.6,0.5,0.3,2.2,1.3,0.0,1.2,95.8,94.7,38907,18101,19.6,19888,35.4
1007,Bullitt,KY,13.6,23.1,5.2,12.7,85.0,0.3,0.6,1.1,1.7,0.0,1.2,96.7,95.2,54836,24308,10.2,77955,250.2
1008,Butler,KY,17.5,22.8,5.8,8.2,75.5,0.5,0.3,0.7,4.0,0.0,1.0,97.5,94.0,35430,18136,25.1,12875,29.8
1009,Caldwell,KY,19.3,22.3,5.9,16.8,84.0,0.3,0.3,5.5,1.5,0.1,1.4,92.4,91.1,37127,20327,21.4,12725,37.7
1010,Calloway,KY,15.9,18.1,5.1,27.7,86.1,0.3,2.3,4.1,2.6,0.1,1.5,91.7,89.4,39677,21490,20.1,38282,96.6
1011,Campbell,KY,13.8,22.0,6.1,28.5,88.5,0.2,1.0,3.1,1.8,0.0,1.7,93.9,92.4,54306,26945,13.0,91833,597.0
1012,Carlisle,KY,19.9,22.2,5.7,15.5,82.9,0.7,0.3,1.5,2.4,0.0,1.4,96.1,94.0,39049,21500,16.2,4978,26.9
1013,Carroll,KY,14.7,25.6,7.9,9.5,74.8,0.4,0.5,1.9,7.0,0.0,1.8,95.4,88.8,40160,19429,29.9,10815,84.1
1014,Carter,KY,16.5,22.6,6.1,10.4,75.5,0.3,0.2,0.7,1.2,0.0,0.9,97.9,96.8,36406,19204,20.3,27223,67.7
1015,Casey,KY,18.8,22.6,6.5,8.4,69.7,0.4,0.3,0.7,2.9,0.1,0.9,97.6,95.1,29934,15603,26.8,15891,35.9
1016,Christian,KY,11.1,27.7,9.8,15.1,85.2,0.7,1.6,21.1,7.6,0.4,3.1,73.0,66.8,38904,19773,20.5,74250,103.1
1017,Clark,KY,16.3,22.8,5.8,19.4,82.5,0.2,0.5,5.1,2.8,0.0,1.4,92.8,90.3,45853,24524,15.4,35758,141.1
